"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2014","154","PM2.5","San Jose - Jackson","06-085-0005","AQS","22","14",".","154","47"
"01/02/2014","105","PM2.5","San Jose - Jackson","06-085-0005","AQS","19","9","44","105","50"
"01/03/2014","94","PM2.5","San Jose - Jackson","06-085-0005","AQS","19","9",".","94","49"
"01/04/2014","81","PM2.5","San Jose - Jackson","06-085-0005","AQS","19","14",".","81","38"
"01/05/2014","69","PM2.5","San Jose - Jackson","06-085-0005","AQS","17","17","27","69","42"
"01/06/2014","85","PM2.5","San Jose - Jackson","06-085-0005","AQS","18","3",".","85","44"
"01/07/2014","85","PM2.5","San Jose - Jackson","06-085-0005","AQS","17","10",".","85","44"
"01/08/2014","68","PM2.5","San Jose - Jackson","06-085-0005","AQS","16","25","18","68","36"
"01/09/2014","30","NO2","San Jose - Jackson","06-085-0005","AQS","6","28",".","29","30"
"01/10/2014","56","PM2.5","San Jose - Jackson","06-085-0005","AQS","17","15",".","56","40"
"01/11/2014","58","PM2.5","San Jose - Jackson","06-085-0005","AQS","16","15","24","58","28"
"01/12/2014","41","PM2.5","San Jose - Jackson","06-085-0005","AQS","10","24",".","41","28"
"01/13/2014","35","NO2","San Jose - Jackson","06-085-0005","AQS","11","17",".","32","35"
"01/14/2014","55","PM2.5","San Jose - Jackson","06-085-0005","AQS","16","21","28","55","42"
"01/15/2014","63","PM2.5","San Jose - Jackson","06-085-0005","AQS","18","14",".","63","45"
"01/16/2014","70","PM2.5","San Jose - Jackson","06-085-0005","AQS","17","15",".","70","53"
"01/17/2014","89","PM2.5","San Jose - Jackson","06-085-0005","AQS","18","9","48","89","55"
"01/18/2014","88","PM2.5","San Jose - Jackson","06-085-0005","AQS","22","17",".","88","51"
"01/19/2014","81","PM2.5","San Jose - Jackson","06-085-0005","AQS","19","20",".","81","51"
"01/20/2014","84","PM2.5","San Jose - Jackson","06-085-0005","AQS","17","17","43","84","52"
"01/21/2014","75","PM2.5","San Jose - Jackson","06-085-0005","AQS","19","10",".","75","51"
"01/22/2014","67","PM2.5","San Jose - Jackson","06-085-0005","AQS","22","12",".","67","53"
"01/23/2014","84","PM2.5","San Jose - Jackson","06-085-0005","AQS","16","15","44","84","52"
"01/24/2014","99","PM2.5","San Jose - Jackson","06-085-0005","AQS","17","10",".","99","54"
"01/25/2014","83","PM2.5","San Jose - Jackson","06-085-0005","AQS","20","21",".","83","50"
"01/26/2014","60","PM2.5","San Jose - Jackson","06-085-0005","AQS","15","31","34","60","38"
"01/27/2014","60","PM2.5","San Jose - Jackson","06-085-0005","AQS","7","13",".","60","32"
"01/28/2014","35","PM2.5","San Jose - Jackson","06-085-0005","AQS","10","18",".","35","33"
"01/29/2014","45","PM2.5","San Jose - Jackson","06-085-0005","AQS","5","19","10","45","19"
"01/30/2014","30","Ozone","San Jose - Jackson","06-085-0005","AQS","3","30",".","18","22"
"01/31/2014","33","PM2.5","San Jose - Jackson","06-085-0005","AQS","6","26",".","33","28"
"02/01/2014","43","PM2.5","San Jose - Jackson","06-085-0005","AQS","8","28","17","43","30"
"02/02/2014","31","Ozone","San Jose - Jackson","06-085-0005","AQS","6","31",".","24","25"
"02/03/2014","39","PM2.5","San Jose - Jackson","06-085-0005","AQS","6","27",".","39","33"
"02/04/2014","30","NO2","San Jose - Jackson","06-085-0005","AQS","6","20","7","26","30"
"02/05/2014","28","NO2","San Jose - Jackson","06-085-0005","AQS","6","27",".","23","28"
"02/06/2014","25","PM2.5","Gilroy","06-085-0002","AQS","3","22",".","25","17"
"02/07/2014","37","PM2.5","Gilroy","06-085-0002","AQS","3","27","6","37","23"
"02/08/2014","25","Ozone","San Jose - Jackson","06-085-0005","AQS","2","25",".","12","7"
"02/09/2014","24","Ozone","San Jose - Jackson","06-085-0005","AQS","2","24",".","3","7"
"02/10/2014","41","PM2.5","San Jose - Jackson","06-085-0005","AQS","5","21","9","41","25"
"02/11/2014","35","PM2.5","Gilroy","06-085-0002","AQS","5","20",".","35","22"
"02/12/2014","43","PM2.5","Gilroy","06-085-0002","AQS","5","19",".","43","28"
"02/13/2014","40","PM2.5","San Jose - Jackson","06-085-0005","AQS","7","16","21","40","25"
"02/14/2014","26","PM2.5","Gilroy","06-085-0002","AQS","5","15",".","26","21"
"02/15/2014","29","PM2.5","San Jose - Jackson","06-085-0005","AQS","8","19",".","29","21"
"02/16/2014","51","PM10","San Jose - Jackson","06-085-0005","AQS","3","34","51","20","24"
"02/17/2014","30","Ozone","San Jose - Jackson","06-085-0005","AQS","8","30",".","29","25"
"02/18/2014","31","PM2.5","San Jose - Jackson","06-085-0005","AQS","10","25",".","31","25"
