"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2012","83","PM2.5","San Jose - Jackson","06-085-0005","AQS","14","22","28","83","31"
"01/02/2012","75","PM2.5","San Jose - Jackson","06-085-0005","AQS","16","19",".","75","35"
"01/03/2012","93","PM2.5","San Jose - Jackson","06-085-0005","AQS","17","8",".","93","33"
"01/04/2012","97","PM2.5","San Jose - Jackson","06-085-0005","AQS","20","19","43","97","42"
"01/05/2012","65","PM2.5","San Jose - Jackson","06-085-0005","AQS","20","18",".","65","48"
"01/06/2012","55","PM2.5","San Jose - Jackson","06-085-0005","AQS","11","16",".","55","35"
"01/07/2012","57","PM2.5","San Jose - Jackson","06-085-0005","AQS","17","30","20","57","32"
"01/08/2012","37","PM2.5","Gilroy","06-085-0002","AQS","13","31",".","37","35"
"01/09/2012","79","PM2.5","San Jose - Jackson","06-085-0005","AQS","17","19",".","79","45"
"01/10/2012","110","PM2.5","San Jose - Jackson","06-085-0005","AQS","17","19","51","110","49"
"01/11/2012","83","PM2.5","San Jose - Jackson","06-085-0005","AQS","17","15",".","83","42"
"01/12/2012","72","PM2.5","San Jose - Jackson","06-085-0005","AQS","20","22",".","72","46"
"01/13/2012","87","PM2.5","San Jose - Jackson","06-085-0005","AQS","18","18","40","87","50"
"01/14/2012","104","PM2.5","San Jose - Jackson","06-085-0005","AQS","22","19",".","104","45"
"01/15/2012","66","PM2.5","San Jose - Jackson","06-085-0005","AQS","22","33",".","66","33"
"01/16/2012","39","NO2","San Jose - Jackson","06-085-0005","AQS","9","25","14","35","39"
"01/17/2012","52","PM2.5","Gilroy","06-085-0002","AQS","11","25",".","52","37"
"01/18/2012","52","PM2.5","San Jose - Jackson","06-085-0005","AQS","14","26",".","52","42"
"01/19/2012","58","PM2.5","Gilroy","06-085-0002","AQS","14","30","19","58","29"
"01/20/2012","38","PM2.5","Gilroy","06-085-0002","AQS","3","30",".","38","15"
"01/21/2012","36","PM2.5","San Jose - Jackson","06-085-0005","AQS","7","32",".","36","28"
"01/22/2012","37","PM2.5","Gilroy","06-085-0002","AQS","8","30","9","37","19"
"01/23/2012","32","Ozone","Cupertino Monta Vista","06-085-2009","AQS","5","32",".","22","22"
"01/24/2012","31","PM2.5","San Jose - Jackson","06-085-0005","AQS","7","19",".","31","25"
"01/25/2012","54","PM2.5","San Jose - Jackson","06-085-0005","AQS","14","19","20","54","32"
"01/26/2012","42","PM2.5","Gilroy","06-085-0002","AQS","7","13",".","42","19"
