"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2019","56","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","10","30",".","56","32"
"01/02/2019","51","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","13","23",".","51","36"
"01/03/2019","62","PM2.5","San Jose - Jackson","06-085-0005","AQS","15","21","28","62","36"
"01/04/2019","59","PM2.5","San Jose - Jackson","06-085-0005","AQS","15","35",".","59","28"
"01/05/2019","37","PM2.5","Gilroy","06-085-0002","AQS","7","33",".","37","25"
"01/06/2019","34","Ozone","San Martin","06-085-2006","AQS","7","34","6","23","19"
"01/07/2019","28","NO2","San Jose - Jackson","06-085-0005","AQS","9","27",".","27","28"
"01/08/2019","37","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","9","32",".","37","26"
"01/09/2019","33","Ozone","Los Gatos","06-085-1001","AQS","9","33","7","24","25"
"01/10/2019","38","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","11","25",".","38","32"
"01/11/2019","29","Ozone","San Martin","06-085-2006","AQS","10","29",".","28","18"
"01/12/2019","36","Ozone","San Martin","06-085-2006","AQS","9","36","7","29","29"
"01/13/2019","27","Ozone","San Jose - Jackson","06-085-0005","AQS","8","27",".","26","22"
"01/14/2019","35","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","15","31",".","35","28"
"01/15/2019","36","Ozone","Los Gatos","06-085-1001","AQS","6","36","4","17","18"
"01/16/2019","37","Ozone","Gilroy","06-085-0002","AQS","6","37",".","20","12"
"01/17/2019","46","PM2.5","San Jose - Jackson","06-085-0005","AQS","9","36",".","46","25"
"01/18/2019","47","PM2.5","San Jose - Jackson","06-085-0005","AQS","11","27","19","47","28"
"01/19/2019","42","PM2.5","San Jose - Jackson","06-085-0005","AQS","10","23",".","42","25"
"01/20/2019","33","Ozone","Gilroy","06-085-0002","AQS","10","33",".","29","18"
"01/21/2019","33","Ozone","San Martin","06-085-2006","AQS","10","33","10","28","28"
"01/22/2019","34","NO2","San Jose - Jackson","06-085-0005","AQS","9","29",".","31","34"
"01/23/2019","50","PM2.5","San Jose - Jackson","06-085-0005","AQS","13","22",".","50","33"
"01/24/2019","53","PM2.5","San Jose - Jackson","06-085-0005","AQS","15","27","21","53","31"
"01/25/2019","64","PM2.5","San Jose - Jackson","06-085-0005","AQS","13","22",".","64","38"
"01/26/2019","62","PM2.5","San Jose - Jackson","06-085-0005","AQS","16","26",".","62","36"
"01/27/2019","68","PM2.5","San Jose - Jackson","06-085-0005","AQS","16","31","25","68","39"
"01/28/2019","67","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","14","20",".","67","33"
"01/29/2019","62","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","11","17",".","62","23"
"01/30/2019","58","PM2.5","San Jose - Jackson","06-085-0005","AQS","9","20","26","58","29"
"01/31/2019","33","PM2.5","San Jose - Jackson","06-085-0005","AQS","6","31",".","33","20"
"02/01/2019","39","Ozone","San Martin","06-085-2006","AQS","5","39",".","12","14"
"02/02/2019","41","Ozone","San Martin","06-085-2006","AQS","5","41","4","15","9"
"02/03/2019","37","Ozone","San Martin","06-085-2006","AQS","5","37",".","13","9"
"02/04/2019","37","Ozone","San Martin","06-085-2006","AQS","5","37",".","18","22"
"02/05/2019","34","Ozone","San Martin","06-085-2006","AQS","6","34","10","32","27"
"02/06/2019","41","PM2.5","San Jose - Jackson","06-085-0005","AQS","8","31",".","41","30"
"02/07/2019","33","PM2.5","San Jose - Jackson","06-085-0005","AQS","10","32",".","33","28"
"02/08/2019","31","Ozone","Los Gatos","06-085-1001","AQS","6","31","6","23","18"
"02/09/2019","39","Ozone","San Martin","06-085-2006","AQS","6","39",".","28","25"
"02/10/2019","41","Ozone","San Martin","06-085-2006","AQS","8","41",".","25","28"
"02/11/2019","33","Ozone","San Martin","06-085-2006","AQS","8","33","10","30","25"
"02/12/2019","40","Ozone","San Martin","06-085-2006","AQS","8","40",".","28","28"
"02/13/2019","40","Ozone","San Martin","06-085-2006","AQS","5","40",".","18","11"
"02/14/2019","38","Ozone","Los Gatos","06-085-1001","AQS","6","38","6","23","19"
"02/15/2019","36","Ozone","Gilroy","06-085-0002","AQS","6","36",".","23","24"
"02/16/2019","35","Ozone","San Martin","06-085-2006","AQS","6","35",".","32","19"
"02/17/2019","38","Ozone","San Martin","06-085-2006","AQS","7","38","6","23","26"
"02/18/2019","35","PM2.5","San Jose - Jackson","06-085-0005","AQS","9","33",".","35","32"
"02/19/2019","35","NO2","San Jose - Jackson","06-085-0005","AQS","10","31",".","31","35"
"02/20/2019","37","Ozone","San Martin","06-085-2006","AQS","6","37","11","23","25"
