"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2017","60","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","9","32",".","60","30"
"01/02/2017","27","Ozone","San Jose - Jackson","06-085-0005","AQS","6","27",".","25","15"
"01/03/2017","27","Ozone","San Jose - Jackson","06-085-0005","AQS","6","27",".","14","16"
"01/04/2017","28","NO2","San Jose - Knox Avenue","06-085-0006","AQS","8","23","5","21","28"
"01/05/2017","31","NO2","San Jose - Knox Avenue","06-085-0006","AQS","9","29",".","26","31"
"01/06/2017","43","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","13","16",".","43","35"
"01/07/2017","28","Ozone","San Jose - Jackson","06-085-0005","AQS","10","28",".","25","27"
"01/08/2017","23","Ozone","San Jose - Jackson","06-085-0005","AQS","6","23",".","10","13"
"01/09/2017","31","NO2","San Jose - Knox Avenue","06-085-0006","AQS","8","30",".","13","31"
"01/10/2017","31","Ozone","San Jose - Jackson","06-085-0005","AQS","7","31","4","15","22"
"01/11/2017","32","Ozone","San Jose - Jackson","06-085-0005","AQS","7","32",".","22","28"
"01/12/2017","28","Ozone","San Jose - Jackson","06-085-0005","AQS","8","28",".","21","27"
"01/13/2017","44","PM2.5","San Jose - Jackson","06-085-0005","AQS","13","20","18","44","32"
"01/14/2017","52","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","16","20",".","52","28"
"01/15/2017","62","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","14","17",".","62","27"
"01/16/2017","65","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","14","18",".","65","33"
"01/17/2017","76","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","15","6",".","76","30"
"01/18/2017","40","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","13","29",".","40","23"
"01/19/2017","31","Ozone","San Jose - Jackson","06-085-0005","AQS","7","31","9","20","30"
"01/20/2017","31","Ozone","San Jose - Jackson","06-085-0005","AQS","7","31",".","18","25"
"01/21/2017","33","Ozone","San Jose - Jackson","06-085-0005","AQS","6","33",".","24","25"
"01/22/2017","33","Ozone","San Jose - Jackson","06-085-0005","AQS","7","33","4","20","23"
"01/23/2017","33","NO2","San Jose - Jackson","06-085-0005","AQS","7","30",".","18","33"
"01/24/2017","36","NO2","San Jose - Jackson","06-085-0005","AQS","10","25",".","29","36"
"01/25/2017","34","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","14","27","15","34","30"
"01/26/2017","45","PM2.5","San Jose - Jackson","06-085-0005","AQS","14","19",".","45","37"
"01/27/2017","48","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","15","21",".","48","36"
"01/28/2017","99","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","13","20","28","99","32"
"01/29/2017","68","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","15","19",".","68","40"
"01/30/2017","65","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","18","15",".","65","39"
"01/31/2017","75","PM2.5","San Jose - Jackson","06-085-0005","AQS","18","10","40","75","41"
"02/01/2017","53","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","18","35",".","53","33"
"02/02/2017","31","Ozone","San Jose - Jackson","06-085-0005","AQS","6","31",".","13","16"
"02/03/2017","34","Ozone","San Jose - Jackson","06-085-0005","AQS","6","34","6","20","20"
"02/04/2017","32","PM2.5","San Jose - Jackson","06-085-0005","AQS","7","32",".","32","24"
"02/05/2017","32","Ozone","San Jose - Jackson","06-085-0005","AQS","7","32",".","13","16"
"02/06/2017","33","Ozone","San Jose - Jackson","06-085-0005","AQS","6","33","6","18","31"
"02/07/2017","24","Ozone","San Jose - Jackson","06-085-0005","AQS","7","24",".","14","24"
"02/08/2017","12","Ozone","San Jose - Jackson","06-085-0005","AQS","7","12",".","8","11"
"02/09/2017","14","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","6","14","5","14","14"
"02/10/2017","31","Ozone","San Jose - Jackson","06-085-0005","AQS","7","31",".","23","27"
"02/11/2017","29","Ozone","San Jose - Jackson","06-085-0005","AQS","8","29",".","23","28"
"02/12/2017","33","PM2.5","San Jose - Jackson","06-085-0005","AQS","10","31","14","33","24"
"02/13/2017","50","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","10","17",".","50","32"
"02/14/2017","54","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","13","21",".","54","40"
"02/15/2017","44","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","13","31",".","44","30"
"02/16/2017","32","Ozone","San Jose - Jackson","06-085-0005","AQS","7","32",".","22","23"
"02/17/2017","34","Ozone","San Jose - Jackson","06-085-0005","AQS","6","34",".","10","19"
"02/18/2017","36","Ozone","San Jose - Jackson","06-085-0005","AQS","6","36","9","20","27"
"02/19/2017","32","Ozone","San Jose - Jackson","06-085-0005","AQS","7","32",".","13","23"
"02/20/2017","41","Ozone","San Jose - Jackson","06-085-0005","AQS","6","41",".","10","21"
"02/21/2017","32","Ozone","San Jose - Jackson","06-085-0005","AQS","6","32","8","20","29"
"02/22/2017","36","Ozone","San Jose - Jackson","06-085-0005","AQS","10","36",".","17","25"
"02/23/2017","36","Ozone","San Jose - Jackson","06-085-0005","AQS","7","36",".","20","32"
"02/24/2017","33","Ozone","San Jose - Jackson","06-085-0005","AQS","9","33","13","27","31"
"02/25/2017","37","Ozone","San Jose - Jackson","06-085-0005","AQS","8","37",".","23","25"
