"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2022","83","PM2.5","San Jose - Jackson","06-085-0005","AQS","10","28",".","83","26"
"01/02/2022","48","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","13","30","15","48","30"
"01/03/2022","31","Ozone","Los Gatos","06-085-1001","AQS","9","31",".","24","23"
"01/04/2022","27","Ozone","San Jose - Jackson","06-085-0005","AQS","8","27",".","18","23"
"01/05/2022","29","Ozone","San Martin","06-085-2006","AQS","8","29","13","25","22"
"01/06/2022","28","PM2.5","San Jose - Jackson","06-085-0005","AQS","7","21",".","28","16"
"01/07/2022","27","Ozone","San Jose - Jackson","06-085-0005","AQS","6","27",".","18","20"
"01/08/2022","41","PM2.5","San Jose - Jackson","06-085-0005","AQS","9","29","13","41","23"
"01/09/2022","54","PM2.5","San Jose - Jackson","06-085-0005","AQS","10","21",".","54","24"
"01/10/2022","63","PM2.5","San Jose - Jackson","06-085-0005","AQS","13","19",".","63","29"
"01/11/2022","62","PM2.5","San Jose - Jackson","06-085-0005","AQS","14","24","29","62","35"
"01/12/2022","61","PM2.5","San Jose - Jackson","06-085-0005","AQS","14","19",".","61","37"
"01/13/2022","71","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","14","19",".","71","32"
"01/14/2022","52","PM2.5","San Jose - Jackson","06-085-0005","AQS","10","27","19","52","32"
"01/15/2022","61","PM2.5","San Jose - Jackson","06-085-0005","AQS","13","26",".","61","32"
"01/16/2022","68","PM2.5","San Jose - Jackson","06-085-0005","AQS","13","28",".","68","30"
"01/17/2022","85","PM2.5","San Jose - Jackson","06-085-0005","AQS","14","19","38","85","35"
"01/18/2022","66","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","13","20",".","66","25"
"01/19/2022","59","PM2.5","San Jose - Jackson","06-085-0005","AQS","9","22",".","59","26"
"01/20/2022","61","PM2.5","San Jose - Jackson","06-085-0005","AQS","11","24","27","61","31"
"01/21/2022","41","PM2.5","San Jose - Jackson","06-085-0005","AQS","11","34",".","41","23"
"01/22/2022","33","Ozone","San Jose - Jackson","06-085-0005","AQS","8","33",".","23","29"
"01/23/2022","56","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","10","30","19","56","32"
"01/24/2022","60","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","11","30",".","60","26"
"01/25/2022","58","PM2.5","San Jose - Jackson","06-085-0005","AQS","9","27",".","58","25"
"01/26/2022","69","PM2.5","San Jose - Jackson","06-085-0005","AQS","10","28","29","69","31"
