"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2018","124","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","18","27",".","124","36"
"01/02/2018","103","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","20","15",".","103","48"
"01/03/2018","77","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","20","19",".","77","40"
"01/04/2018","24","Ozone","Los Gatos","06-085-1001","AQS","9","24",".","13","19"
"01/05/2018","25","Ozone","San Jose - Jackson","06-085-0005","AQS","9","25","6","13","22"
"01/06/2018","36","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","10","30",".","36","26"
"01/07/2018","60","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","11","18",".","60","22"
"01/08/2018","37","PM2.5","San Jose - Jackson","06-085-0005","AQS","13","19","10","37","21"
"01/09/2018","31","Ozone","San Martin","06-085-2006","AQS","9","31","8","22","23"
"01/10/2018","30","NO2","San Jose - Knox Avenue","06-085-0006","AQS","8","25",".","27","30"
"01/11/2018","51","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","8","26","19","51","32"
"01/12/2018","58","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","9","20",".","58","27"
"01/13/2018","63","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","13","19",".","63","26"
"01/14/2018","66","PM2.5","San Jose - Jackson","06-085-0005","AQS","13","10","22","66","23"
"01/15/2018","75","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","13","22",".","75","30"
"01/16/2018","57","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","11","18",".","57","30"
"01/17/2018","74","PM2.5","San Jose - Jackson","06-085-0005","AQS","10","12","31","74","30"
"01/18/2018","53","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","9","29",".","53","22"
"01/19/2018","32","Ozone","San Martin","06-085-2006","AQS","7","32",".","31","29"
"01/20/2018","44","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","9","29","13","44","26"
"01/21/2018","36","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","9","31",".","36","30"
"01/22/2018","31","Ozone","San Jose - Jackson","06-085-0005","AQS","7","31",".","30","31"
"01/23/2018","57","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","8","24","21","57","32"
"01/24/2018","38","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","10","31",".","38","22"
"01/25/2018","32","NO2","San Jose - Knox Avenue","06-085-0006","AQS","8","29",".","26","32"
"01/26/2018","32","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","9","31","14","32","29"
"01/27/2018","44","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","11","31",".","44","27"
"01/28/2018","39","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","11","26",".","39","31"
"01/29/2018","62","PM2.5","San Jose - Jackson","06-085-0005","AQS","14","10","32","62","32"
"01/30/2018","63","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","16","19",".","63","37"
"01/31/2018","57","PM2.5","San Jose - Jackson","06-085-0005","AQS","16","19",".","57","37"
"02/01/2018","47","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","14","27","25","47","40"
"02/02/2018","43","PM2.5","San Jose - Jackson","06-085-0005","AQS","16","25",".","43","29"
"02/03/2018","40","PM2.5","San Jose - Jackson","06-085-0005","AQS","11","34",".","40","34"
"02/04/2018","44","PM2.5","San Jose - Jackson","06-085-0005","AQS","14","29","19","44","32"
"02/05/2018","48","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","15","26",".","48","36"
"02/06/2018","36","Ozone","Los Gatos","06-085-1001","AQS","11","36",".","29","35"
"02/07/2018","51","PM2.5","San Jose - Jackson","06-085-0005","AQS","14","33","27","51","42"
"02/08/2018","64","PM2.5","San Jose - Jackson","06-085-0005","AQS","16","39",".","64","48"
"02/09/2018","59","PM2.5","San Jose - Jackson","06-085-0005","AQS","17","28",".","59","42"
"02/10/2018","51","PM2.5","San Jose - Jackson","06-085-0005","AQS","15","35","23","51","23"
"02/11/2018","33","Ozone","San Martin","06-085-2006","AQS","7","33",".","25","23"
"02/12/2018","33","NO2","San Jose - Knox Avenue","06-085-0006","AQS","8","31",".","22","33"
"02/13/2018","36","NO2","San Jose - Jackson","06-085-0005","AQS","10","31","17","33","36"
"02/14/2018","41","PM2.5","San Jose - Jackson","06-085-0005","AQS","13","34",".","41","35"
"02/15/2018","34","Ozone","Gilroy","06-085-0002","AQS","9","34",".","33","32"
"02/16/2018","75","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","14","31","24","75","34"
"02/17/2018","48","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","13","36",".","48","27"
"02/18/2018","39","Ozone","Gilroy","06-085-0002","AQS","10","39",".","25","22"
"02/19/2018","37","Ozone","Gilroy","06-085-0002","AQS","8","37","10","23","25"
"02/20/2018","40","PM2.5","San Jose - Jackson","06-085-0005","AQS","9","32",".","40","30"
"02/21/2018","36","Ozone","Gilroy","06-085-0002","AQS","9","36",".","27","29"
"02/22/2018","37","Ozone","Gilroy","06-085-0002","AQS","9","37","11","30","31"
"02/23/2018","34","Ozone","Gilroy","06-085-0002","AQS","8","34",".","30","30"
"02/24/2018","38","Ozone","Gilroy","06-085-0002","AQS","8","38",".","30","28"
"02/25/2018","39","PM2.5","San Jose - Jackson","06-085-0005","AQS","9","38","14","39","26"
"02/26/2018","34","Ozone","Los Gatos","06-085-1001","AQS","7","34",".","24","24"
"02/27/2018","35","Ozone","Gilroy","06-085-0002","AQS","7","35",".","24","32"
"02/28/2018","35","PM2.5","San Jose - Jackson","06-085-0005","AQS","7","33","11","35","26"
"03/01/2018","38","Ozone","Gilroy","06-085-0002","AQS","6","38",".","25","15"
"03/02/2018","38","Ozone","Gilroy","06-085-0002","AQS","7","38",".","22","26"
"03/03/2018","37","Ozone","Gilroy","06-085-0002","AQS","8","37","6","25","28"
"03/04/2018","39","Ozone","Los Gatos","06-085-1001","AQS","9","39",".","24","25"
"03/05/2018","33","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","10","33",".","33","30"
"03/06/2018","41","Ozone","Gilroy","06-085-0002","AQS","13","41","19","40","40"
"03/07/2018","50","Ozone","Los Gatos","06-085-1001","AQS","10","50",".","30","29"
"03/08/2018","30","Ozone","Gilroy","06-085-0002","AQS","8","30",".","18","27"
"03/09/2018","37","Ozone","Gilroy","06-085-0002","AQS","8","37","13","35","26"
"03/10/2018","56","PM2.5","San Jose - Jackson","06-085-0005","AQS","9","24",".","56","24"
"03/11/2018","56","PM2.5","San Jose - Jackson","06-085-0005","AQS","10","37",".","56","31"
"03/12/2018","29","Ozone","Los Gatos","06-085-1001","AQS","9","29","10","20","23"
"03/13/2018","36","Ozone","Gilroy","06-085-0002","AQS","6","36",".","15","16"
"03/14/2018","38","Ozone","Gilroy","06-085-0002","AQS","6","38",".","13","25"
"03/15/2018","36","Ozone","Gilroy","06-085-0002","AQS","7","36",".","16","27"
"03/16/2018","36","Ozone","Gilroy","06-085-0002","AQS","6","36",".","19","25"
"03/17/2018","42","PM2.5","San Jose - Jackson","06-085-0005","AQS","8","33",".","42","26"
"03/18/2018","35","Ozone","Gilroy","06-085-0002","AQS","8","35",".","29","27"
"03/19/2018","39","PM2.5","San Jose - Jackson","06-085-0005","AQS","10","37",".","39","30"
"03/20/2018","34","Ozone","San Martin","06-085-2006","AQS","9","34",".","20","31"
"03/21/2018","33","Ozone","Los Gatos","06-085-1001","AQS","6","33","6","19","15"
"03/22/2018","37","Ozone","Los Gatos","06-085-1001","AQS","7","37",".","19","25"
"03/23/2018","39","Ozone","Gilroy","06-085-0002","AQS","9","39",".","30","26"
"03/24/2018","40","Ozone","Gilroy","06-085-0002","AQS","7","40","9","23","21"
"03/25/2018","41","Ozone","San Jose - Jackson","06-085-0005","AQS","7","41",".","20","20"
"03/26/2018","38","Ozone","Los Gatos","06-085-1001","AQS","9","38",".","20","26"
"03/27/2018","40","Ozone","San Martin","06-085-2006","AQS","9","40","17","33","30"
"03/28/2018","41","PM2.5","San Jose - Jackson","06-085-0005","AQS","10","41",".","41","35"
"03/29/2018","46","PM2.5","San Jose - Jackson","06-085-0005","AQS","10","45",".","46","33"
"03/30/2018","50","PM2.5","San Jose - Jackson","06-085-0005","AQS","11","47","21","50","33"
"03/31/2018","51","PM2.5","San Jose - Jackson","06-085-0005","AQS","10","49",".","51","26"
"04/01/2018","41","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","8","38",".","41","13"
"04/02/2018","43","PM2.5","San Jose - Jackson","06-085-0005","AQS","7","39","24","43","24"
"04/03/2018","52","PM2.5","San Jose - Jackson","06-085-0005","AQS","9","44",".","52","25"
"04/04/2018","43","PM2.5","San Jose - Jackson","06-085-0005","AQS","8","40",".","43","25"
"04/05/2018","37","Ozone","San Martin","06-085-2006","AQS","8","37","16","36","37"
"04/06/2018","21","Ozone","Los Gatos","06-085-1001","AQS","7","21",".","14","17"
"04/07/2018","38","PM2.5","San Jose - Jackson","06-085-0005","AQS","5","37",".","38","14"
"04/08/2018","44","Ozone","Gilroy","06-085-0002","AQS","5","44","19","40","15"
"04/09/2018","45","PM2.5","San Jose - Jackson","06-085-0005","AQS","7","43",".","45","25"
"04/10/2018","37","Ozone","Gilroy","06-085-0002","AQS","6","37",".","31","33"
"04/11/2018","43","Ozone","San Martin","06-085-2006","AQS","6","43","13","30","32"
"04/12/2018","49","Ozone","San Martin","06-085-2006","AQS","5","49",".","27","37"
"04/13/2018","43","Ozone","Los Gatos","06-085-1001","AQS","7","43",".","33","25"
"04/14/2018","48","Ozone","San Martin","06-085-2006","AQS","7","48","19","44","22"
"04/15/2018","45","Ozone","Los Gatos","06-085-1001","AQS","5","45",".","39","18"
"04/16/2018","42","Ozone","San Martin","06-085-2006","AQS","3","42",".","15","19"
"04/17/2018","40","Ozone","Los Gatos","06-085-1001","AQS","7","40","9","22","26"
"04/18/2018","38","Ozone","Gilroy","06-085-0002","AQS","6","38",".","21","27"
"04/19/2018","40","Ozone","San Martin","06-085-2006","AQS","5","40",".","36","31"
"04/20/2018","42","Ozone","San Martin","06-085-2006","AQS","6","42","20","41","24"
"04/21/2018","50","Ozone","San Martin","06-085-2006","AQS","7","50",".","46","23"
"04/22/2018","63","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","7","61",".","63","24"
"04/23/2018","61","PM2.5","San Jose - Jackson","06-085-0005","AQS","6","48","32","61","25"
"04/24/2018","64","PM2.5","San Jose - Jackson","06-085-0005","AQS","6","40",".","64","22"
"04/25/2018","60","PM2.5","San Jose - Jackson","06-085-0005","AQS","5","39",".","60","15"
"04/26/2018","50","PM2.5","San Jose - Jackson","06-085-0005","AQS","5","41","20","50","17"
"04/27/2018","42","Ozone","Los Gatos","06-085-1001","AQS","5","42",".","35","28"
"04/28/2018","44","Ozone","San Jose - Jackson","06-085-0005","AQS","6","44",".","22","22"
"04/29/2018","43","Ozone","San Martin","06-085-2006","AQS","5","43","6","14","11"
"04/30/2018","42","Ozone","San Martin","06-085-2006","AQS","6","42",".","36","27"
"05/01/2018","42","PM2.5","San Jose - Jackson","06-085-0005","AQS","5","39",".","42","27"
"05/02/2018","45","PM2.5","San Jose - Jackson","06-085-0005","AQS","6","39","19","45","18"
"05/03/2018","40","Ozone","Gilroy","06-085-0002","AQS","6","40",".","39","16"
"05/04/2018","47","Ozone","San Martin","06-085-2006","AQS","7","47",".","45","19"
"05/05/2018","44","Ozone","San Martin","06-085-2006","AQS","7","44","13","42","20"
"05/06/2018","43","Ozone","San Martin","06-085-2006","AQS","5","43",".","18","15"
"05/07/2018","45","Ozone","San Martin","06-085-2006","AQS","6","45",".","27","21"
"05/08/2018","38","Ozone","Gilroy","06-085-0002","AQS","6","38","13","25","22"
"05/09/2018","44","Ozone","San Martin","06-085-2006","AQS","5","44",".","22","11"
"05/10/2018","39","Ozone","Los Gatos","06-085-1001","AQS","6","39",".","37","19"
"05/11/2018","53","PM2.5","San Jose - Jackson","06-085-0005","AQS","7","50","24","53","23"
"05/12/2018","61","PM2.5","San Jose - Jackson","06-085-0005","AQS","8","39",".","61","25"
"05/13/2018","38","Ozone","Los Gatos","06-085-1001","AQS","6","38",".","35","8"
"05/14/2018","35","Ozone","Los Gatos","06-085-1001","AQS","6","35","13","32","15"
"05/15/2018","36","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","6","33",".","36","14"
"05/16/2018","36","Ozone","San Martin","06-085-2006","AQS","6","36",".","20","23"
"05/17/2018","38","Ozone","San Martin","06-085-2006","AQS","6","38","11","22","23"
"05/18/2018","34","Ozone","San Martin","06-085-2006","AQS","6","34",".","25","18"
"05/19/2018","40","Ozone","San Martin","06-085-2006","AQS","6","40",".","33","11"
"05/20/2018","38","Ozone","San Martin","06-085-2006","AQS","5","38","13","28","9"
"05/21/2018","36","PM2.5","San Jose - Jackson","06-085-0005","AQS","6","34",".","36","15"
"05/22/2018","31","Ozone","San Jose - Jackson","06-085-0005","AQS","6","31",".","25","15"
"05/23/2018","31","Ozone","Gilroy","06-085-0002","AQS","5","31","6","15","11"
"05/24/2018","33","Ozone","San Martin","06-085-2006","AQS","5","33",".","19","17"
"05/25/2018","31","Ozone","San Martin","06-085-2006","AQS","5","31",".","14","21"
"05/26/2018","30","Ozone","San Jose - Jackson","06-085-0005","AQS","5","30","10","26","15"
"05/27/2018","40","Ozone","San Martin","06-085-2006","AQS","6","40",".","30","14"
"05/28/2018","49","PM2.5","San Jose - Jackson","06-085-0005","AQS","6","47",".","49","21"
"05/29/2018","64","PM2.5","San Jose - Jackson","06-085-0005","AQS","6","44","37","64","21"
"05/30/2018","56","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","5","36",".","56","18"
"05/31/2018","35","Ozone","San Martin","06-085-2006","AQS","5","35",".","30","17"
