"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2015","67","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","11","21",".","67","39"
"01/02/2015","73","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","16","19",".","73","40"
"01/03/2015","92","PM2.5","San Jose - Jackson","06-085-0005","AQS","15","21","35","92","45"
"01/04/2015","85","PM2.5","San Jose - Jackson","06-085-0005","AQS","17","16",".","85","39"
"01/05/2015","88","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","17","10",".","88","42"
"01/06/2015","95","PM2.5","San Jose - Jackson","06-085-0005","AQS","20","8","43","95","44"
"01/07/2015","86","PM2.5","San Jose - Jackson","06-085-0005","AQS","18","6",".","86","49"
"01/08/2015","84","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","20","2",".","84","42"
"01/09/2015","87","PM2.5","San Jose - Jackson","06-085-0005","AQS","23","4","44","87","41"
"01/10/2015","73","PM2.5","San Jose - Jackson","06-085-0005","AQS","11","10",".","73","32"
"01/11/2015","64","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","14","12",".","64","22"
"01/12/2015","63","PM2.5","San Jose - Jackson","06-085-0005","AQS","16","11","27","63","33"
"01/13/2015","41","PM2.5","San Jose - Jackson","06-085-0005","AQS","13","19",".","41","35"
"01/14/2015","60","PM2.5","San Jose - Jackson","06-085-0005","AQS","15","11",".","60","32"
"01/15/2015","90","PM2.5","San Jose - Jackson","06-085-0005","AQS","14","8","39","90","37"
"01/16/2015","78","PM2.5","San Jose - Jackson","06-085-0005","AQS","15","7",".","78","37"
"01/17/2015","73","PM2.5","San Jose - Jackson","06-085-0005","AQS","11","8",".","73","25"
"01/18/2015","77","PM2.5","San Jose - Jackson","06-085-0005","AQS","14","13","25","77","23"
"01/19/2015","48","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","14","10",".","48","22"
"01/20/2015","55","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","14","12",".","55","28"
"01/21/2015","56","PM2.5","San Jose - Jackson","06-085-0005","AQS","15","17","23","56","33"
"01/22/2015","61","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","15","9",".","61","27"
"01/23/2015","64","PM2.5","San Jose - Jackson","06-085-0005","AQS","16","17",".","64","35"
"01/24/2015","60","PM2.5","San Jose - Jackson","06-085-0005","AQS","14","19","23","60","36"
"01/25/2015","58","PM2.5","San Jose - Jackson","06-085-0005","AQS","16","14",".","58","31"
"01/26/2015","61","PM2.5","San Jose - Jackson","06-085-0005","AQS","18","7",".","61","39"
"01/27/2015","36","PM2.5","Gilroy","06-085-0002","AQS","14","24","20","36","34"
"01/28/2015","54","PM2.5","San Jose - Jackson","06-085-0005","AQS","15","22",".","54","31"
"01/29/2015","64","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","16","18",".","64","33"
"01/30/2015","62","PM2.5","San Jose - Jackson","06-085-0005","AQS","15","16","30","62","24"
"01/31/2015","43","PM2.5","San Jose - Jackson","06-085-0005","AQS","15","31",".","43","38"
"02/01/2015","43","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","16","22",".","43","33"
"02/02/2015","87","PM2.5","San Jose - Jackson","06-085-0005","AQS","16","17","42","87","43"
"02/03/2015","84","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","19","13",".","84","40"
"02/04/2015","61","PM2.5","San Jose - Jackson","06-085-0005","AQS","15","19",".","61","30"
"02/05/2015","36","PM2.5","San Jose - Jackson","06-085-0005","AQS","10","25","15","36","24"
"02/06/2015","24","Ozone","San Jose - Jackson","06-085-0005","AQS","5","24",".","23","12"
"02/07/2015","22","Ozone","San Jose - Jackson","06-085-0005","AQS","6","22",".","17","19"
"02/08/2015","33","Ozone","San Jose - Jackson","06-085-0005","AQS","6","33","6","18","13"
"02/09/2015","35","PM2.5","Gilroy","06-085-0002","AQS","8","31",".","35","30"
"02/10/2015","32","PM2.5","San Jose - Jackson","06-085-0005","AQS","9","24",".","32","31"
"02/11/2015","47","PM2.5","San Jose - Jackson","06-085-0005","AQS","13","14","19","47","32"
"02/12/2015","54","PM2.5","San Jose - Jackson","06-085-0005","AQS","15","19",".","54","38"
"02/13/2015","58","PM2.5","San Jose - Jackson","06-085-0005","AQS","16","19",".","58","43"
"02/14/2015","66","PM2.5","San Jose - Jackson","06-085-0005","AQS","15","31","25","66","35"
"02/15/2015","51","PM2.5","San Jose - Jackson","06-085-0005","AQS","16","32",".","51","34"
"02/16/2015","51","PM2.5","San Jose - Jackson","06-085-0005","AQS","13","31",".","51","28"
"02/17/2015","59","PM2.5","San Jose - Jackson","06-085-0005","AQS","8","27","19","59","20"
"02/18/2015","52","PM2.5","Gilroy","06-085-0002","AQS","8","30",".","52","27"
"02/19/2015","66","PM2.5","San Jose - Jackson","06-085-0005","AQS","9","22",".","66","29"
"02/20/2015","62","PM2.5","San Jose - Jackson","06-085-0005","AQS","10","24","25","62","36"
"02/21/2015","43","PM2.5","Gilroy","06-085-0002","AQS","13","31",".","43","24"
"02/22/2015","31","Ozone","San Jose - Jackson","06-085-0005","AQS","9","31",".","28","23"
"02/23/2015","32","Ozone","San Jose - Jackson","06-085-0005","AQS","7","32","19","28","31"
"02/24/2015","36","NO2","San Jose - Knox Avenue","06-085-0006","AQS","13","33",".","32","36"
"02/25/2015","42","PM2.5","San Jose - Jackson","06-085-0005","AQS","10","30",".","42","32"
"02/26/2015","49","PM2.5","San Jose - Jackson","06-085-0005","AQS","11","31","23","49","26"
"02/27/2015","32","Ozone","San Jose - Jackson","06-085-0005","AQS","8","32",".","18","31"
"02/28/2015","34","PM2.5","San Jose - Jackson","06-085-0005","AQS","9","31",".","34","28"
"03/01/2015","31","Ozone","San Jose - Jackson","06-085-0005","AQS","10","31","8","30","23"
"03/02/2015","34","NO2","San Jose - Jackson","06-085-0005","AQS","13","25",".","32","34"
"03/03/2015","37","PM2.5","San Jose - Jackson","06-085-0005","AQS","13","31",".","37","25"
"03/04/2015","37","NO2","San Jose - Jackson","06-085-0005","AQS","10","35","15","33","37"
"03/05/2015","45","PM2.5","San Jose - Jackson","06-085-0005","AQS","11",".",".","45","36"
"03/06/2015","56","PM2.5","San Jose - Jackson","06-085-0005","AQS","11","35",".","56","36"
"03/07/2015","48","PM2.5","San Jose - Jackson","06-085-0005","AQS","11","44","19","48","32"
"03/08/2015","56","PM2.5","San Jose - Jackson","06-085-0005","AQS","8","40",".","56","26"
"03/09/2015","55","PM2.5","San Jose - Jackson","06-085-0005","AQS","7","30",".","55","22"
"03/10/2015","63","PM2.5","San Jose - Jackson","06-085-0005","AQS","9","20","31","63","27"
