"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2021","82","PM2.5","San Jose - Jackson","06-085-0005","AQS","11","25","31","82","24"
"01/02/2021","40","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","7","23",".","40","20"
"01/03/2021","63","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","8","25",".","63","25"
"01/04/2021","39","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","9","28","14","39","28"
"01/05/2021","51","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","9","28",".","51","26"
"01/06/2021","57","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","13","21",".","57","33"
"01/07/2021","76","PM2.5","San Jose - Jackson","06-085-0005","AQS","14","16","32","76","27"
"01/08/2021","57","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","11","24",".","57","25"
"01/09/2021","61","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","11","30",".","61","27"
"01/10/2021","61","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","13","24","21","61","26"
"01/11/2021","66","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","13","21",".","66","30"
"01/12/2021","67","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","10","16",".","67","29"
"01/13/2021","62","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","11","23","24","62","30"
"01/14/2021","52","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","10","22",".","52","25"
"01/15/2021","60","PM2.5","San Jose - Jackson","06-085-0005","AQS","13","20",".","60","31"
"01/16/2021","64","PM2.5","San Jose - Jackson","06-085-0005","AQS","14","27","24","64","25"
"01/17/2021","55","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","13","31",".","55","31"
"01/18/2021","35","Ozone","San Jose - Jackson","06-085-0005","AQS","11","35",".","26","25"
"01/19/2021","35","Ozone","Gilroy","06-085-0002","AQS","6","35","27","26","29"
"01/20/2021","58","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","11","29",".","58","39"
"01/21/2021","58","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","13","31",".","58","28"
"01/22/2021","33","PM2.5","San Jose - Jackson","06-085-0005","AQS","7","31","11","33","24"
"01/23/2021","48","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","9","28",".","48","23"
"01/24/2021","50","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","9","34",".","50","18"
"01/25/2021","35","Ozone","San Martin","06-085-2006","AQS","6","35","10","25","15"
"01/26/2021","34","Ozone","Los Gatos","06-085-1001","AQS","9","34",".","29","29"
"01/27/2021","36","Ozone","Los Gatos","06-085-1001","AQS","5","36",".","25","14"
"01/28/2021","37","Ozone","Los Gatos","06-085-1001","AQS","6","37","2","23","23"
"01/29/2021","33","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","9","32",".","33","28"
"01/30/2021","34","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","10","31",".","34","23"
"01/31/2021","33","Ozone","Los Gatos","06-085-1001","AQS","9","33","8","27","29"
"02/01/2021","33","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","10","33",".","33","25"
"02/02/2021","30","Ozone","San Jose - Jackson","06-085-0005","AQS","7","30",".","24","23"
