"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2020","62","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","13","26","19","62","22"
"01/02/2020","40","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","10","22",".","40","28"
"01/03/2020","56","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","15","31",".","56","30"
"01/04/2020","43","PM2.5","Gilroy","06-085-0002","AQS","14","31","15","43","25"
"01/05/2020","35","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","10","31",".","35","27"
"01/06/2020","41","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","10","24",".","41","32"
"01/07/2020","43","PM2.5","San Jose - Jackson","06-085-0005","AQS","11","22","20","43","27"
"01/08/2020","31","Ozone","San Jose - Jackson","06-085-0005","AQS","8","31",".","28","29"
"01/09/2020","28","Ozone","San Martin","06-085-2006","AQS","6","28",".","24","26"
"01/10/2020","32","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","13","20","15","32","26"
"01/11/2020","40","PM2.5","San Jose - Jackson","06-085-0005","AQS","7","33",".","40","28"
"01/12/2020","37","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","9","31",".","37","29"
"01/13/2020","29","Ozone","San Jose - Jackson","06-085-0005","AQS","8","29","10","26","24"
"01/14/2020","33","Ozone","San Martin","06-085-2006","AQS","8","33",".","27","32"
"01/15/2020","35","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","10","32",".","35","31"
"01/16/2020","31","Ozone","Los Gatos","06-085-1001","AQS","6","31","6","28","22"
"01/17/2020","30","NO2","San Jose - Knox Avenue","06-085-0006","AQS","10","28",".","29","30"
"01/18/2020","55","PM2.5","San Jose - Jackson","06-085-0005","AQS","10","19",".","55","27"
"01/19/2020","57","PM2.5","San Jose - Jackson","06-085-0005","AQS","11","15","19","57","28"
"01/20/2020","63","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","15","33",".","63","25"
"01/21/2020","33","Ozone","Los Gatos","06-085-1001","AQS","7","33",".","25","25"
"01/22/2020","33","NO2","San Jose - Knox Avenue","06-085-0006","AQS","8","22","10","27","33"
"01/23/2020","63","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","13","19",".","63","28"
"01/24/2020","50","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","13","26",".","50","27"
"01/25/2020","65","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","10","26","20","65","22"
"01/26/2020","34","Ozone","San Jose - Jackson","06-085-0005","AQS","7","34",".","23","25"
"01/27/2020","37","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","11","31",".","37","25"
"01/28/2020","38","PM2.5","Gilroy","06-085-0002","AQS","7","28","17","38","24"
"01/29/2020","45","PM2.5","Gilroy","06-085-0002","AQS","9","25",".","45","26"
"01/30/2020","41","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","9","19",".","41","26"
"01/31/2020","54","PM2.5","San Jose - Jackson","06-085-0005","AQS","14","19","24","54","31"
"02/01/2020","65","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","14","27",".","65","28"
"02/02/2020","38","PM2.5","Gilroy","06-085-0002","AQS","9","36",".","38","17"
"02/03/2020","33","Ozone","Gilroy","06-085-0002","AQS","8","33","9","20","28"
"02/04/2020","35","NO2","San Jose - Knox Avenue","06-085-0006","AQS","6","33",".","26","35"
"02/05/2020","36","NO2","San Jose - Knox Avenue","06-085-0006","AQS","10","27",".","28","36"
"02/06/2020","55","PM2.5","San Jose - Jackson","06-085-0005","AQS","13","27","29","55","36"
"02/07/2020","57","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","15","31",".","57","29"
"02/08/2020","56","PM2.5","Gilroy","06-085-0002","AQS","10","29",".","56","20"
"02/09/2020","33","Ozone","Gilroy","06-085-0002","AQS","8","33","23","20","21"
"02/10/2020","41","NO2","San Jose - Jackson","06-085-0005","AQS","9","34",".","23","41"
"02/11/2020","42","NO2","San Jose - Jackson","06-085-0005","AQS","10","34",".","23","42"
"02/12/2020","40","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","10","31","24","40","28"
"02/13/2020","40","PM2.5","Gilroy","06-085-0002","AQS","7","34",".","40","20"
"02/14/2020","53","PM2.5","Gilroy","06-085-0002","AQS","8","29",".","53","28"
"02/15/2020","53","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","9","37","23","53","25"
"02/16/2020","38","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","9","37",".","38","26"
"02/17/2020","35","Ozone","San Jose - Jackson","06-085-0005","AQS","6","35",".","34","30"
"02/18/2020","37","Ozone","San Martin","06-085-2006","AQS","9","37","20","36","32"
"02/19/2020","51","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","9","38",".","51","35"
"02/20/2020","56","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","10","37",".","56","42"
"02/21/2020","65","PM2.5","San Jose - Jackson","06-085-0005","AQS","11","33","36","65","42"
"02/22/2020","53","PM2.5","San Jose - Jackson","06-085-0005","AQS","9","35",".","53","30"
"02/23/2020","34","Ozone","San Martin","06-085-2006","AQS","5","34",".","30","18"
"02/24/2020","48","PM2.5","Gilroy","06-085-0002","AQS","8","31","19","48","30"
"02/25/2020","37","PM2.5","San Jose - Jackson","06-085-0005","AQS","11","35",".","37","37"
"02/26/2020","40","PM2.5","San Jose - Jackson","06-085-0005","AQS","10","38",".","40","38"
"02/27/2020","59","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","11","43","32","59","45"
"02/28/2020","56","PM2.5","San Jose - Jackson","06-085-0005","AQS","11","42",".","56","36"
"02/29/2020","42","PM2.5","Gilroy","06-085-0002","AQS","7","38",".","42","23"
"03/01/2020","35","Ozone","San Jose - Jackson","06-085-0005","AQS","5","35","12","29","17"
"03/02/2020","38","Ozone","San Jose - Jackson","06-085-0005","AQS","5","38",".","30","24"
"03/03/2020","37","NO2","San Jose - Knox Avenue","06-085-0006","AQS","9","33",".","33","37"
"03/04/2020","48","PM2.5","San Jose - Jackson","06-085-0005","AQS","10","43","31","48","28"
"03/05/2020","40","PM2.5","San Jose - Jackson","06-085-0005","AQS","6","35",".","40","11"
"03/06/2020","33","Ozone","Gilroy","06-085-0002","AQS","6","33",".","20","9"
"03/07/2020","31","Ozone","Gilroy","06-085-0002","AQS","5","31",".","21","10"
"03/08/2020","34","Ozone","Gilroy","06-085-0002","AQS","6","34",".","20","20"
"03/09/2020","33","Ozone","San Martin","06-085-2006","AQS","9","33",".","23","26"
"03/10/2020","31","Ozone","Gilroy","06-085-0002","AQS","8","31",".","29","29"
"03/11/2020","36","Ozone","San Martin","06-085-2006","AQS","8","36",".","20","25"
"03/12/2020","47","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","10","43",".","47","24"
"03/13/2020","47","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","6","36",".","47","17"
"03/14/2020","33","PM2.5","Gilroy","06-085-0002","AQS","5","33",".","33","14"
"03/15/2020","37","Ozone","Gilroy","06-085-0002","AQS","5","37",".","20","8"
"03/16/2020","35","Ozone","Gilroy","06-085-0002","AQS","6","35",".","16","21"
"03/17/2020","35","Ozone","San Martin","06-085-2006","AQS","7","35",".","21","25"
"03/18/2020","35","Ozone","Gilroy","06-085-0002","AQS","6","35",".","19","17"
"03/19/2020","36","Ozone","Gilroy","06-085-0002","AQS","6","36",".","25","23"
"03/20/2020","36","Ozone","San Jose - Jackson","06-085-0005","AQS","6","36",".","24","20"
"03/21/2020","35","Ozone","Gilroy","06-085-0002","AQS","5","35",".","25","19"
"03/22/2020","33","Ozone","San Jose - Jackson","06-085-0005","AQS","6","33",".","30","17"
"03/23/2020","36","Ozone","Gilroy","06-085-0002","AQS","6","36",".","27","22"
"03/24/2020","37","Ozone","Gilroy","06-085-0002","AQS","3","37",".","19","18"
"03/25/2020","37","Ozone","San Jose - Jackson","06-085-0005","AQS","5","37",".","19","20"
"03/26/2020","36","Ozone","San Jose - Jackson","06-085-0005","AQS","5","36",".","18","21"
"03/27/2020","44","Ozone","San Jose - Jackson","06-085-0005","AQS","6","44",".","38","22"
"03/28/2020","52","PM2.5","San Jose - Jackson","06-085-0005","AQS","3","41",".","52","12"
"03/29/2020","38","Ozone","Gilroy","06-085-0002","AQS","3","38",".","23","8"
"03/30/2020","34","Ozone","San Jose - Jackson","06-085-0005","AQS","3","34",".","16","17"
"03/31/2020","33","Ozone","Gilroy","06-085-0002","AQS","3","33","6","18","15"
"04/01/2020","39","Ozone","Gilroy","06-085-0002","AQS","3","39",".","25","18"
"04/02/2020","38","Ozone","Gilroy","06-085-0002","AQS","6","38",".","24","25"
"04/03/2020","36","Ozone","San Martin","06-085-2006","AQS","6","36","14","24","22"
"04/04/2020","30","Ozone","Los Gatos","06-085-1001","AQS","5","30",".","17","14"
"04/05/2020","33","Ozone","Los Gatos","06-085-1001","AQS","3","33",".","16","11"
"04/06/2020","37","Ozone","Gilroy","06-085-0002","AQS","6","37","4","21","21"
"04/07/2020","38","Ozone","Los Gatos","06-085-1001","AQS","6","38",".","20","18"
"04/08/2020","32","PM2.5","San Jose - Jackson","06-085-0005","AQS","3","32",".","32","16"
"04/09/2020","32","Ozone","Gilroy","06-085-0002","AQS","3","32","6","14","15"
"04/10/2020","35","Ozone","San Jose - Jackson","06-085-0005","AQS","3","35",".","29","13"
"04/11/2020","32","Ozone","Los Gatos","06-085-1001","AQS","3","32",".","27","8"
"04/12/2020","31","Ozone","Gilroy","06-085-0002","AQS","3","31","8","21","4"
"04/13/2020","48","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","5","41",".","48","14"
"04/14/2020","46","Ozone","San Jose - Jackson","06-085-0005","AQS","5","46",".","35","21"
"04/15/2020","45","Ozone","Los Gatos","06-085-1001","AQS","7","45","16","36","24"
"04/16/2020","32","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","3","27",".","32","10"
"04/17/2020","34","Ozone","Gilroy","06-085-0002","AQS","3","34",".","33","8"
"04/18/2020","35","Ozone","Gilroy","06-085-0002","AQS","3","35","10","25","8"
"04/19/2020","36","Ozone","San Jose - Jackson","06-085-0005","AQS","3","36",".","27","8"
"04/20/2020","36","Ozone","Gilroy","06-085-0002","AQS","3","36",".","26","10"
"04/21/2020","38","Ozone","San Martin","06-085-2006","AQS","3","38",".","29","12"
"04/22/2020","35","Ozone","Gilroy","06-085-0002","AQS","5","35",".","23","15"
"04/23/2020","37","Ozone","Gilroy","06-085-0002","AQS","5","37",".","18","13"
"04/24/2020","68","PM2.5","San Jose - Jackson","06-085-0005","AQS","6","44",".","68","16"
"04/25/2020","39","Ozone","Gilroy","06-085-0002","AQS","7","39",".","33","14"
"04/26/2020","41","Ozone","San Martin","06-085-2006","AQS","5","41",".","23","8"
"04/27/2020","38","Ozone","Gilroy","06-085-0002","AQS","5","38",".","31","20"
"04/28/2020","39","Ozone","Gilroy","06-085-0002","AQS","5","39",".","23","12"
"04/29/2020","33","Ozone","Gilroy","06-085-0002","AQS","5","33",".","21","9"
"04/30/2020","49","Ozone","Gilroy","06-085-0002","AQS","5","49",".","25","10"
