"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2013","69","PM2.5","San Jose - Jackson","06-085-0005","AQS","8","27","20","69","30"
"01/02/2013","62","PM2.5","San Jose - Jackson","06-085-0005","AQS","15","16",".","62","39"
"01/03/2013","72","PM2.5","San Jose - Jackson","06-085-0005","AQS","15","11",".","72","38"
"01/04/2013","87","PM2.5","San Jose - Jackson","06-085-0005","AQS","17","13","37","87","40"
"01/05/2013","54","PM2.5","San Jose - Jackson","06-085-0005","AQS","15","31",".","54","22"
"01/06/2013","54","PM2.5","Gilroy","06-085-0002","AQS","9","22",".","54","28"
"01/07/2013","66","PM2.5","San Jose - Jackson","06-085-0005","AQS","17","13","26","66","34"
"01/08/2013","68","PM2.5","San Jose - Jackson","06-085-0005","AQS","18","20",".","68","33"
"01/09/2013","63","PM2.5","San Jose - Jackson","06-085-0005","AQS","16","35",".","63","31"
"01/10/2013","44","PM2.5","Gilroy","06-085-0002","AQS","10","33","12","44","5"
"01/11/2013","49","PM2.5","Gilroy","06-085-0002","AQS","16","31",".","49","42"
"01/12/2013","51","PM2.5","San Jose - Jackson","06-085-0005","AQS","9","31",".","51","36"
"01/13/2013","56","PM2.5","Gilroy","06-085-0002","AQS","14","31","14","56","35"
"01/14/2013","47","PM2.5","Gilroy","06-085-0002","AQS","8","31",".","47","41"
"01/15/2013","58","PM2.5","San Jose - Jackson","06-085-0005","AQS","11","24",".","58","39"
"01/16/2013","76","PM2.5","San Jose - Jackson","06-085-0005","AQS","16","17","33","76","45"
"01/17/2013","76","PM2.5","San Jose - Jackson","06-085-0005","AQS","18","17",".","76","44"
"01/18/2013","81","PM2.5","San Jose - Jackson","06-085-0005","AQS","19","19",".","81","46"
"01/19/2013","77","PM2.5","San Jose - Jackson","06-085-0005","AQS","18","24","31","77","40"
"01/20/2013","70","PM2.5","San Jose - Jackson","06-085-0005","AQS","15","27",".","70","37"
"01/21/2013","76","PM2.5","San Jose - Jackson","06-085-0005","AQS","15","19",".","76","47"
"01/22/2013","88","PM2.5","San Jose - Jackson","06-085-0005","AQS","18","12","48","88","48"
"01/23/2013","100","PM2.5","San Jose - Jackson","06-085-0005","AQS","22","0",".","100","52"
"01/24/2013","88","PM2.5","San Jose - Jackson","06-085-0005","AQS","11","0",".","88","33"
"01/25/2013","73","PM2.5","San Jose - Jackson","06-085-0005","AQS","13","18","26","73","31"
"01/26/2013","38","PM2.5","San Jose - Jackson","06-085-0005","AQS","6","35",".","38","29"
