"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"03/05/2016","31","Ozone","San Jose - Jackson","06-085-0005","AQS","6","31",".","9","8"
"03/06/2016","39","Ozone","San Jose - Jackson","06-085-0005","AQS","6","39",".","22","16"
"03/07/2016","32","Ozone","San Jose - Jackson","06-085-0005","AQS","7","32","6","21","28"
"03/08/2016","30","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","9","29",".","30","25"
"03/09/2016","24","Ozone","San Jose - Jackson","06-085-0005","AQS","7","24",".","20","23"
"03/10/2016","30","Ozone","San Jose - Jackson","06-085-0005","AQS","6","30","9","19","19"
"03/11/2016","34","Ozone","San Jose - Jackson","06-085-0005","AQS","6","34",".","23","19"
"03/12/2016","32","Ozone","San Jose - Jackson","06-085-0005","AQS","6","32",".","25","20"
"03/13/2016","30","Ozone","San Jose - Jackson","06-085-0005","AQS","7","30",".","18","19"
"03/14/2016","43","Ozone","San Jose - Jackson","06-085-0005","AQS","8","43",".","30","29"
"03/15/2016","34","Ozone","San Jose - Jackson","06-085-0005","AQS","10","34",".","33","29"
"03/16/2016","40","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","14","30",".","40","31"
"03/17/2016","38","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","13","33",".","38","26"
"03/18/2016","40","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","8","29",".","40","20"
"03/19/2016","31","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","8","29","13","31","16"
"03/20/2016","29","Ozone","San Jose - Jackson","06-085-0005","AQS","7","29",".","13","9"
"03/21/2016","35","Ozone","San Jose - Jackson","06-085-0005","AQS","8","35",".","29","25"
"03/22/2016","35","Ozone","San Jose - Jackson","06-085-0005","AQS","9","35","11","24","27"
"03/23/2016","30","Ozone","San Jose - Jackson","06-085-0005","AQS","8","30",".","29","22"
"03/24/2016","31","Ozone","San Jose - Jackson","06-085-0005","AQS","9","31",".","24","24"
"03/25/2016","39","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","8","36","21","39","21"
"03/26/2016","40","PM2.5","Gilroy","06-085-0002","AQS","8","34",".","40","20"
"03/27/2016","37","Ozone","San Jose - Jackson","06-085-0005","AQS","5","37",".","24","8"
"03/28/2016","37","Ozone","San Jose - Jackson","06-085-0005","AQS","7","37","13","29","28"
